item	sentence	sentence_original	locus_ambiguity	postlocus_cue	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity
NP-S_1	The employees understood the contract would be changed very soon to accommodate all parties.	The employees understood the contract would be changed very soon to accommodate all parties.	contract	would	The employees understood the contract	The employees understood the contract would	The employees understood the contract	The employees understood the contract would	1	1
NP-S_2	The mechanic accepted the car looked in worse shape than before he worked on it.	The mechanic accepted the car looked in worse shape than before he worked on it.	car	looked	The mechanic accepted the car	The mechanic accepted the car looked	The mechanic accepted the car	The mechanic accepted the car looked	1	1
NP-S_3	The old man recalled the nurse had complained to the doctor that the patient never took his medication.	The old man recalled the nurse had complained to the doctor that the patient never took his medication.	nurse	had	The old man recalled the nurse	The old man recalled the nurse had	The old man recalled the nurse 	The old man recalled the nurse had	1	1
NP-S_4	The traveler heard the clock had woken everybody up in the youth hostel.	The traveler heard the clock had woken everybody up in the youth hostel.	clock	had	The traveler heard the clock	The traveler heard the clock had	The traveler heard the clock 	The traveler heard the clock had	1	1
NP-S_5	The journalist confirmed the story would be published on the front page the next day.	The journalist confirmed the story would be published on the front page the next day.	story	would	The journalist confirmed the story	The journalist confirmed the story would	The journalist confirmed the story 	The journalist confirmed the story would	1	1
NP-S_6	The worker maintained the walls fell down in a heap before he arrived.	The worker maintained the walls fell down in a heap before he arrived.	walls	fell	The worker maintained the walls	The worker maintained the walls fell	The worker maintained the walls 	The worker maintained the walls fell	1	1
NP-S_7	The apprentice forgot the bicycle was standing in the garage next to the car.	The apprentice forgot the bicycle was standing in the garage next to the car.	bicycle	was	The apprentice forgot the bicycle	The apprentice forgot the bicycle was	The apprentice forgot the bicycle 	The apprentice forgot the bicycle was	1	1
NP-S_8	The committee mentioned the issue would cause a problem at the meeting.	The committee mentioned the issue would cause a problem at the meeting.	issue	would	The committee mentioned the issue	The committee mentioned the issue would	The committee mentioned the issue 	The committee mentioned the issue would	1	1
NP-S_9	The army found the supplies saved many lives during the long conflict.	The army found the supplies saved many lives during the long conflict.	supplies	saved	The army found the supplies	The army found the supplies saved	The army found the supplies 	The army found the supplies saved	1	1
NP-S_10	The umpire warned the spectators would probably get too rowdy if beer was served.	The umpire warned the spectators would probably get too rowdy if beer was served.	spectators	would	The umpire warned the spectators	The umpire warned the spectators would	The umpire warned the spectators 	The umpire warned the spectators would	1	1
NP-S_11	The coach discovered the player tried to show off all the time.	The coach discovered the player tried to show off all the time.	player	tried	The coach discovered the player	The coach discovered the player tried	The coach discovered the player 	The coach discovered the player tried	1	1
NP-S_12	The woman noticed the flyer had the wrong address listed on the front.	The woman noticed the flyer had the wrong address listed on the front.	flyer	had	The woman noticed the flyer	The woman noticed the flyer had	The woman noticed the flyer 	The woman noticed the flyer had	1	1
NP-S_13	The tourists saw the palace was being restored to its original condition.	The tourists saw the palace was being restored to its original condition.	palace	was	The tourists saw the palace	The tourists saw the palace was	The tourists saw the palace 	The tourists saw the palace was	1	1
NP-S_14	The scientist proved the theory could help build cars with better mileage.	The scientist proved the theory could help build cars with better mileage.	theory	could	The scientist proved the theory	The scientist proved the theory could	The scientist proved the theory 	The scientist proved the theory could	1	1
NP-S_15	The soldiers remembered the town had been flattened in the bombing raid.	The soldiers remembered the town had been flattened in the bombing raid.	town	had	The soldiers remembered the town	The soldiers remembered the town had	The soldiers remembered the town 	The soldiers remembered the town had	1	1
NP-S_16	The priest recognized two guests were necessary for the marriage to be legal.	The priest recognized two guests were necessary for the marriage to be legal.	guests	were	The priest recognized two guests	The priest recognized two guests were	The priest recognized two guests 	The priest recognized two guests were	1	1
NP-S_17	The reporter revealed the politician received some payments from the unscrupulous millionaire.	The reporter revealed the politician received some payments from the unscrupulous millionaire.	politician	received	The reporter revealed the politician	The reporter revealed the politician received	The reporter revealed the politician	The reporter revealed the politician received	1	1
NP-S_18	The owners insured the house would never get flooded again when it rained.	The owners insured the house would never get flooded again when it rained.	house	would	The owners insured the house	The owners insured the house would	The owners insured the house 	The owners insured the house would	1	1
NP-S_19	The lawyer established the alibi was not sufficient to free the defendant from blame.	The lawyer established the alibi was not sufficient to free the defendant from blame.	alibi	was	The lawyer established the alibi	The lawyer established the alibi was	The lawyer established the alibi 	The lawyer established the alibi was	1	1
NP-S_20	The store guaranteed the television would last for ten years without failing.	The store guaranteed the television would last for ten years without failing.	television	would	The store guaranteed the television	The store guaranteed the television would	The store guaranteed the television	The store guaranteed the television would	1	1
